"","anon_id","follow_date","follow_score","follow_income","advisor_id","branch_id","baseline_income","client_type","area","in_01","in_02","in_03","in_04","in_05","in_06","in_07","in_08","in_09","in_10","in_11","in_12","in_13","in_14","in_15","in_16","in_17","in_18","in_19","in_20","in_21","in_22","in_23","in_24","in_25","in_26","in_27","in_28","in_29","in_30","in_31","in_32","in_33","in_34","in_35","in_36","in_37","in_38","in_39","in_40","in_41","in_42","in_43","in_44","in_45","in_46","in_47","in_48","in_49","in_50","base_score","base_date","change","improve","remove"
"20",659586,2016-11-29,148,885.7142857,942,10,285.7142857,"Sorteado","Urban",2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,147,2016-01-08,1,1,0
"21",684608,2017-01-02,149,1300,1323,7,1300,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,147,2016-10-20,2,1,0
"22",688373,2017-06-12,150,700,590,21,700,"Sorteado","Urban",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,148,2017-02-20,2,1,0
"23",689288,2016-12-23,150,699.988,1140,9,533.3333333,"Sorteado","Urban",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2016-10-27,4,1,0
"24",700206,2016-12-22,150,1000,948,2,400,"Sorteado","Metropolitan",2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,141,2016-07-27,9,1,0
"25",704874,2016-12-21,150,850,785,5,850,"Sorteado","Rural",3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,144,2016-10-17,6,1,0
"26",711414,2016-08-17,150,1333.333333,988,2,254.1666667,"Sorteado","Metropolitan",1,2,3,1,3,1,3,3,3,2,3,3,3,1,3,2,2,3,3,3,3,2,2,2,2,1,3,3,3,3,3,2,2,3,3,3,3,3,3,1,3,3,3,3,2,2,3,3,3,3,126,2016-04-05,24,1,0
"27",711731,2016-12-29,150,1040,1435,2,1900,"Sorteado","Metropolitan",3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,142,2015-11-19,8,1,0
"28",712400,2016-10-31,150,3450,1185,5,3450,NA,"Urban",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,145,2016-10-14,5,1,0
"29",712729,2016-07-28,143,775,785,5,320,"Sorteado","Urban",2,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,141,2015-12-29,2,1,0
